,Unnamed: 0,Date,Station,Rainfall (mm),Temperature (°C),Humidity (%),Wind Speed (km/h),Precipitation Type
925,925,7/15/2023,Biratnagar,65.2,34.3,76,13.9,Snow
926,926,7/16/2023,Biratnagar,0.0,13.6,73,12.2,Snow
927,927,7/17/2023,Biratnagar,0.0,13.4,52,1.9,
928,928,7/18/2023,Biratnagar,76.89,23.3,58,11.7,Rain
929,929,7/19/2023,Biratnagar,61.94,22.6,52,14.9,Drizzle
930,930,7/20/2023,Biratnagar,45.99,33.5,87,4.2,Rain
931,931,7/21/2023,Biratnagar,5.75,27.3,79,5.4,Rain
932,932,7/22/2023,Biratnagar,0.0,23.6,70,4.5,Rain
933,933,7/23/2023,Biratnagar,27.5,31.1,49,0.2,Rain
934,934,7/24/2023,Biratnagar,0.0,29.2,73,6.7,
935,935,7/25/2023,Biratnagar,98.92,24.3,95,13.1,Rain
936,936,7/26/2023,Biratnagar,0.0,26.4,74,3.3,
937,937,7/27/2023,Biratnagar,0.0,24.8,93,7.3,
938,938,7/28/2023,Biratnagar,24.53,21.2,81,4.6,Snow
939,939,7/29/2023,Biratnagar,0.0,20.1,87,13.3,Snow
940,940,7/30/2023,Biratnagar,94.89,15.3,74,10.9,Rain
941,941,7/31/2023,Biratnagar,0.0,33.6,80,5.1,
942,942,8/1/2023,Biratnagar,60.58,33.4,44,10.8,Rain
943,943,8/2/2023,Biratnagar,0.0,17.3,65,12.5,
944,944,8/3/2023,Biratnagar,29.64,27.9,47,12.6,Drizzle
945,945,8/4/2023,Biratnagar,87.57,27.9,55,15.9,Drizzle
946,946,8/5/2023,Biratnagar,0.0,29.1,76,17.3,Rain
947,947,8/6/2023,Biratnagar,27.89,10.2,52,5.3,Rain
948,948,8/7/2023,Biratnagar,43.58,13.0,44,0.3,Rain
949,949,8/8/2023,Biratnagar,41.15,16.9,61,10.3,Drizzle
950,950,8/9/2023,Biratnagar,31.730000000000004,27.1,100,0.3,Snow
951,951,8/10/2023,Biratnagar,73.38,21.4,83,1.8,Rain
952,952,8/11/2023,Biratnagar,95.96,28.4,81,12.0,Drizzle
953,953,8/12/2023,Biratnagar,0.0,30.2,57,19.3,
954,954,8/13/2023,Biratnagar,61.67,26.9,90,12.6,Snow
955,955,8/14/2023,Biratnagar,82.75,12.8,54,18.5,
956,956,8/15/2023,Biratnagar,10.97,12.4,81,9.1,Rain
957,957,8/16/2023,Biratnagar,80.16,22.8,88,10.9,
958,958,8/17/2023,Biratnagar,48.69,16.8,66,10.3,Drizzle
959,959,8/18/2023,Biratnagar,11.94,31.1,94,18.3,Drizzle
960,960,8/19/2023,Biratnagar,55.81,17.8,88,6.1,Drizzle
961,961,8/20/2023,Biratnagar,39.38,17.9,64,3.1,Snow
962,962,8/21/2023,Biratnagar,1.85,33.6,60,17.1,
963,963,8/22/2023,Biratnagar,9.21,24.6,82,16.1,
964,964,8/23/2023,Biratnagar,93.57,13.6,72,2.4,Snow
965,965,8/24/2023,Biratnagar,11.7,32.0,73,6.8,Rain
966,966,8/25/2023,Biratnagar,0.0,28.3,99,8.3,Snow
967,967,8/26/2023,Biratnagar,34.44,18.1,51,4.3,Snow
968,968,8/27/2023,Biratnagar,36.43,16.3,83,5.6,Rain
969,969,8/28/2023,Biratnagar,1.9900000000000002,18.1,51,12.6,Snow
970,970,8/29/2023,Biratnagar,7.140000000000001,29.1,85,8.2,Drizzle
971,971,8/30/2023,Biratnagar,72.06,20.5,62,10.7,Drizzle
972,972,8/31/2023,Biratnagar,84.33,24.9,77,14.0,Drizzle
973,973,9/1/2023,Biratnagar,22.37,31.0,61,16.4,Rain
974,974,9/2/2023,Biratnagar,45.04,34.6,96,15.8,Rain
975,975,9/3/2023,Biratnagar,0.0,22.8,58,7.2,Drizzle
976,976,9/4/2023,Biratnagar,5.2,31.4,63,0.7,Drizzle
977,977,9/5/2023,Biratnagar,18.3,29.1,67,2.9,Rain
978,978,9/6/2023,Biratnagar,76.55,33.1,85,12.5,Snow
979,979,9/7/2023,Biratnagar,0.0,33.6,78,0.6,Rain
980,980,9/8/2023,Biratnagar,42.99,31.4,84,3.0,
981,981,9/9/2023,Biratnagar,6.65,34.1,79,15.1,Rain
982,982,9/10/2023,Biratnagar,74.13,26.3,95,19.5,Snow
983,983,9/11/2023,Biratnagar,50.73,21.0,41,10.7,
984,984,9/12/2023,Biratnagar,0.0,28.8,62,4.1,Drizzle
985,985,9/13/2023,Biratnagar,93.31,20.5,78,6.9,Rain
986,986,9/14/2023,Biratnagar,39.09,11.9,40,19.9,Drizzle
987,987,9/15/2023,Biratnagar,41.3,26.5,72,8.3,Snow
988,988,9/16/2023,Biratnagar,62.120000000000005,10.9,50,19.5,
989,989,9/17/2023,Biratnagar,91.37,19.1,77,5.5,
990,990,9/18/2023,Biratnagar,31.82,20.4,54,5.3,
991,991,9/19/2023,Biratnagar,79.07,34.2,75,8.6,Snow
992,992,9/20/2023,Biratnagar,30.11,26.2,98,19.3,
993,993,9/21/2023,Biratnagar,71.53,35.0,54,12.9,Snow
994,994,9/22/2023,Biratnagar,5.87,14.0,52,2.9,Snow
995,995,9/23/2023,Biratnagar,63.64,13.6,97,0.6,Snow
996,996,9/24/2023,Biratnagar,1.7400000000000002,10.6,87,9.8,Drizzle
997,997,9/25/2023,Biratnagar,39.91,11.6,91,18.8,Drizzle
998,998,9/26/2023,Biratnagar,79.13,16.8,78,6.5,Drizzle
999,999,9/27/2023,Biratnagar,0.0,30.1,82,16.1,Rain
1000,1000,9/28/2023,Biratnagar,22.79,24.4,92,18.5,Snow
1001,1001,9/29/2023,Biratnagar,23.14,20.9,96,8.7,Snow
1002,1002,9/30/2023,Biratnagar,28.76,25.4,81,13.8,Rain
1003,1003,10/1/2023,Biratnagar,40.0,10.7,49,13.0,
1004,1004,10/2/2023,Biratnagar,0.0,30.3,100,2.9,Rain
1005,1005,10/3/2023,Biratnagar,83.79,26.0,98,6.9,
1006,1006,10/4/2023,Biratnagar,0.0,18.8,51,14.2,Drizzle
1007,1007,10/5/2023,Biratnagar,32.81,29.7,97,16.9,Rain
1008,1008,10/6/2023,Biratnagar,51.62,24.0,61,18.8,Drizzle
1009,1009,10/7/2023,Biratnagar,62.93000000000001,14.5,81,19.8,Drizzle
1010,1010,10/8/2023,Biratnagar,0.0,15.2,41,15.2,Rain
1011,1011,10/9/2023,Biratnagar,10.45,27.5,96,7.4,
1012,1012,10/10/2023,Biratnagar,0.0,25.3,90,3.6,
1013,1013,10/11/2023,Biratnagar,0.0,10.1,89,17.6,Drizzle
1014,1014,10/12/2023,Biratnagar,88.01,28.1,64,1.7,
1015,1015,10/13/2023,Biratnagar,0.0,26.9,60,10.9,Rain
1016,1016,10/14/2023,Biratnagar,0.0,31.4,40,7.5,Rain
1017,1017,10/15/2023,Biratnagar,98.97,13.7,40,3.2,Rain
1018,1018,10/16/2023,Biratnagar,44.07,34.8,87,15.7,Snow
1019,1019,10/17/2023,Biratnagar,29.06,11.9,89,6.0,Drizzle
1020,1020,10/18/2023,Biratnagar,21.7,18.3,41,1.9,
1021,1021,10/19/2023,Biratnagar,29.76,20.5,60,7.1,Rain
1022,1022,10/20/2023,Biratnagar,0.0,32.8,56,15.9,
1023,1023,10/21/2023,Biratnagar,25.24,31.4,65,9.4,Rain
1024,1024,10/22/2023,Biratnagar,63.64,26.4,88,7.3,Drizzle
1025,1025,10/23/2023,Biratnagar,11.69,22.4,77,12.5,Rain
1026,1026,10/24/2023,Biratnagar,0.0,18.4,40,16.2,Snow
1027,1027,10/25/2023,Biratnagar,36.01,18.5,100,10.2,Snow
1028,1028,10/26/2023,Biratnagar,0.0,15.5,80,19.1,Rain
1029,1029,10/27/2023,Biratnagar,0.0,14.6,81,19.8,Rain
1030,1030,10/28/2023,Biratnagar,67.46,32.5,51,14.9,
1031,1031,10/29/2023,Biratnagar,34.5,34.8,52,12.4,
1032,1032,10/30/2023,Biratnagar,0.0,27.4,48,2.3,Drizzle
1033,1033,10/31/2023,Biratnagar,40.17,34.9,65,15.9,Snow
1034,1034,11/1/2023,Biratnagar,0.0,15.7,97,1.0,Rain
1035,1035,11/2/2023,Biratnagar,20.27,25.5,60,19.8,
1036,1036,11/3/2023,Biratnagar,21.24,19.2,81,16.8,
1037,1037,11/4/2023,Biratnagar,0.0,27.8,99,17.6,Snow
1038,1038,11/5/2023,Biratnagar,5.2,16.5,89,9.3,Snow
1039,1039,11/6/2023,Biratnagar,4.11,34.0,93,3.0,Rain
1040,1040,11/7/2023,Biratnagar,21.8,26.8,92,2.8,Drizzle
1041,1041,11/8/2023,Biratnagar,24.68,27.0,96,6.0,Drizzle
1042,1042,11/9/2023,Biratnagar,53.76,18.8,74,8.3,Rain
1043,1043,11/10/2023,Biratnagar,44.14,13.8,54,15.5,Drizzle
1044,1044,11/11/2023,Biratnagar,0.0,17.2,81,9.0,Rain
1045,1045,11/12/2023,Biratnagar,52.28,26.3,85,0.2,Snow
1046,1046,11/13/2023,Biratnagar,3.13,24.7,78,10.0,Snow
1047,1047,11/14/2023,Biratnagar,0.0,21.4,80,4.1,Rain
1048,1048,11/15/2023,Biratnagar,78.35,19.4,58,13.0,
1049,1049,11/16/2023,Biratnagar,0.0,13.5,92,6.3,Snow
1050,1050,11/17/2023,Biratnagar,11.58,26.9,53,4.0,Snow
1051,1051,11/18/2023,Biratnagar,0.0,31.4,48,10.4,
1052,1052,11/19/2023,Biratnagar,70.15,24.3,71,4.6,Snow
1053,1053,11/20/2023,Biratnagar,16.45,31.9,77,10.6,Snow
1054,1054,11/21/2023,Biratnagar,0.0,29.7,77,9.6,
1055,1055,11/22/2023,Biratnagar,75.8,12.8,47,16.4,Rain
1056,1056,11/23/2023,Biratnagar,37.17,30.8,72,10.8,Snow
1057,1057,11/24/2023,Biratnagar,92.4,27.9,55,1.9,Snow
1058,1058,11/25/2023,Biratnagar,19.32,33.8,93,3.9,Rain
1059,1059,11/26/2023,Biratnagar,13.53,13.0,60,14.8,Drizzle
1060,1060,11/27/2023,Biratnagar,59.76,30.5,98,14.3,Drizzle
1061,1061,11/28/2023,Biratnagar,11.65,28.4,54,4.8,Rain
1062,1062,11/29/2023,Biratnagar,0.0,16.6,68,16.1,Snow
1063,1063,11/30/2023,Biratnagar,1.79,33.0,44,7.6,Snow
1064,1064,12/1/2023,Biratnagar,0.0,27.3,81,13.6,
1065,1065,12/2/2023,Biratnagar,7.51,33.9,59,13.3,
1066,1066,12/3/2023,Biratnagar,62.08,21.3,41,12.8,
1067,1067,12/4/2023,Biratnagar,0.0,31.1,89,8.0,Rain
1068,1068,12/5/2023,Biratnagar,0.0,23.1,96,9.5,Drizzle
1069,1069,12/6/2023,Biratnagar,0.0,11.4,54,18.5,Rain
1070,1070,12/7/2023,Biratnagar,63.31999999999999,20.5,86,13.9,Rain
1071,1071,12/8/2023,Biratnagar,5.58,22.3,94,1.5,Rain
1072,1072,12/9/2023,Biratnagar,0.0,32.7,46,1.1,Rain
1073,1073,12/10/2023,Biratnagar,66.01,32.7,86,11.5,
1074,1074,12/11/2023,Biratnagar,0.0,33.3,62,13.2,Drizzle
1075,1075,12/12/2023,Biratnagar,78.56,34.9,74,7.2,Rain
1076,1076,12/13/2023,Biratnagar,23.51,22.0,43,10.7,
1077,1077,12/14/2023,Biratnagar,0.0,23.0,70,8.7,Rain
1078,1078,12/15/2023,Biratnagar,95.36,11.3,49,18.7,Rain
1079,1079,12/16/2023,Biratnagar,24.44,14.9,91,2.9,Drizzle
1080,1080,12/17/2023,Biratnagar,0.0,34.0,60,13.5,Rain
1081,1081,12/18/2023,Biratnagar,0.0,16.8,87,15.2,Drizzle
1082,1082,12/19/2023,Biratnagar,6.65,29.6,88,13.0,Drizzle
1083,1083,12/20/2023,Biratnagar,55.66,12.4,82,6.4,Snow
1084,1084,12/21/2023,Biratnagar,75.02,18.0,65,14.4,
1085,1085,12/22/2023,Biratnagar,62.86,34.4,93,19.4,
1086,1086,12/23/2023,Biratnagar,89.46,16.9,95,2.9,Snow
1087,1087,12/24/2023,Biratnagar,0.0,30.7,45,11.3,Drizzle
1088,1088,12/25/2023,Biratnagar,64.34,22.8,64,14.7,Rain
1089,1089,12/26/2023,Biratnagar,22.42,19.4,95,16.4,
1090,1090,12/27/2023,Biratnagar,59.88,20.9,52,5.9,Drizzle
1091,1091,12/28/2023,Biratnagar,10.0,15.7,46,9.5,
1092,1092,12/29/2023,Biratnagar,99.62,34.4,97,4.2,Rain
1093,1093,12/30/2023,Biratnagar,64.7,27.5,65,7.5,Rain
1094,1094,12/31/2023,Biratnagar,55.36,31.5,56,11.2,Snow
1095,1095,1/1/2023,Birgunj,25.76,33.4,92,12.8,Rain
1096,1096,1/2/2023,Birgunj,59.14,18.3,88,17.6,
1097,1097,1/3/2023,Birgunj,31.020000000000003,28.0,52,9.6,
1098,1098,1/4/2023,Birgunj,64.26,30.6,52,14.0,Snow
1099,1099,1/5/2023,Birgunj,24.7,27.4,59,3.9,Rain
1100,1100,1/6/2023,Birgunj,0.0,30.1,62,1.9,Rain
1101,1101,1/7/2023,Birgunj,56.63,32.1,40,16.6,Drizzle
1102,1102,1/8/2023,Birgunj,48.82,25.5,78,1.6,Snow
1103,1103,1/9/2023,Birgunj,0.0,26.8,97,10.4,Snow
1104,1104,1/10/2023,Birgunj,0.0,10.5,79,7.6,Drizzle
1105,1105,1/11/2023,Birgunj,0.0,32.3,82,9.2,Snow
1106,1106,1/12/2023,Birgunj,38.52,13.2,66,2.5,
1107,1107,1/13/2023,Birgunj,0.0,15.3,97,17.5,Drizzle
1108,1108,1/14/2023,Birgunj,33.11,20.9,67,4.7,Snow
1109,1109,1/15/2023,Birgunj,52.49,26.4,100,19.7,
1110,1110,1/16/2023,Birgunj,0.0,26.9,82,14.2,Rain
1111,1111,1/17/2023,Birgunj,0.0,34.8,99,7.5,Rain
1112,1112,1/18/2023,Birgunj,37.0,21.9,45,5.9,Rain
1113,1113,1/19/2023,Birgunj,7.68,21.2,85,7.2,Rain
1114,1114,1/20/2023,Birgunj,0.0,29.9,71,0.4,Drizzle
1115,1115,1/21/2023,Birgunj,51.81,26.4,100,9.9,Snow
1116,1116,1/22/2023,Birgunj,0.0,13.6,63,0.9,Rain
1117,1117,1/23/2023,Birgunj,91.54,30.7,45,16.1,
1118,1118,1/24/2023,Birgunj,0.0,17.2,100,16.7,Drizzle
1119,1119,1/25/2023,Birgunj,0.0,18.6,48,10.6,
1120,1120,1/26/2023,Birgunj,26.75,30.4,56,0.1,Rain
1121,1121,1/27/2023,Birgunj,0.0,14.6,75,3.8,Snow
1122,1122,1/28/2023,Birgunj,79.76,14.4,70,15.6,
1123,1123,1/29/2023,Birgunj,78.87,22.9,52,10.2,
1124,1124,1/30/2023,Birgunj,71.85,27.8,49,17.0,
1125,1125,1/31/2023,Birgunj,85.55,10.3,59,4.4,Drizzle
1126,1126,2/1/2023,Birgunj,17.41,29.7,63,16.1,Snow
1127,1127,2/2/2023,Birgunj,83.7,16.7,77,18.4,
1128,1128,2/3/2023,Birgunj,0.0,22.6,48,11.2,Snow
1129,1129,2/4/2023,Birgunj,39.77,11.3,76,16.2,
1130,1130,2/5/2023,Birgunj,65.36,28.4,60,19.1,Snow
1131,1131,2/6/2023,Birgunj,84.11,31.1,89,3.2,Snow
1132,1132,2/7/2023,Birgunj,0.0,24.2,46,6.5,Drizzle
1133,1133,2/8/2023,Birgunj,0.0,31.4,43,3.6,Snow
1134,1134,2/9/2023,Birgunj,56.71,10.8,61,6.2,
1135,1135,2/10/2023,Birgunj,0.0,15.3,84,3.5,Snow
1136,1136,2/11/2023,Birgunj,37.98,27.9,85,7.2,Snow
1137,1137,2/12/2023,Birgunj,0.0,21.3,55,5.3,Rain
1138,1138,2/13/2023,Birgunj,86.97,21.5,93,5.3,Drizzle
1139,1139,2/14/2023,Birgunj,96.01,11.0,84,16.7,Drizzle
1140,1140,2/15/2023,Birgunj,0.0,19.8,64,12.9,
1141,1141,2/16/2023,Birgunj,22.59,15.7,74,11.7,Snow
1142,1142,2/17/2023,Birgunj,0.0,17.5,40,12.3,Rain
1143,1143,2/18/2023,Birgunj,89.44,28.7,53,13.6,Rain
1144,1144,2/19/2023,Birgunj,0.0,15.9,96,1.0,Drizzle
1145,1145,2/20/2023,Birgunj,58.26,11.6,93,16.0,Snow
1146,1146,2/21/2023,Birgunj,0.0,28.6,65,14.5,Rain
1147,1147,2/22/2023,Birgunj,62.19,14.0,58,6.7,Snow
1148,1148,2/23/2023,Birgunj,0.0,34.9,89,13.3,
1149,1149,2/24/2023,Birgunj,0.0,28.7,51,10.0,Snow
1150,1150,2/25/2023,Birgunj,3.13,16.5,63,12.5,Rain
1151,1151,2/26/2023,Birgunj,78.74,22.5,50,19.7,
1152,1152,2/27/2023,Birgunj,56.43,33.7,58,8.2,Drizzle
1153,1153,2/28/2023,Birgunj,0.0,21.1,45,12.0,Drizzle
1154,1154,3/1/2023,Birgunj,0.0,17.0,76,11.9,
1155,1155,3/2/2023,Birgunj,81.52,18.1,44,5.7,
1156,1156,3/3/2023,Birgunj,0.0,12.1,75,18.5,Drizzle
1157,1157,3/4/2023,Birgunj,15.23,15.6,57,0.4,Drizzle
1158,1158,3/5/2023,Birgunj,55.23,17.6,89,13.0,
1159,1159,3/6/2023,Birgunj,0.0,13.6,42,1.9,Drizzle
1160,1160,3/7/2023,Birgunj,15.399999999999999,33.0,63,13.1,
1161,1161,3/8/2023,Birgunj,0.0,10.1,87,6.6,Snow
1162,1162,3/9/2023,Birgunj,65.94,13.2,42,2.1,Snow
1163,1163,3/10/2023,Birgunj,42.64,26.5,63,14.6,Snow
1164,1164,3/11/2023,Birgunj,98.1,26.5,56,11.5,Drizzle
1165,1165,3/12/2023,Birgunj,0.0,33.9,78,2.2,Snow
1166,1166,3/13/2023,Birgunj,59.12,29.0,68,18.6,Rain
1167,1167,3/14/2023,Birgunj,78.53,28.9,71,14.3,Drizzle
1168,1168,3/15/2023,Birgunj,4.74,12.2,92,4.2,Snow
1169,1169,3/16/2023,Birgunj,0.0,23.6,93,12.3,Drizzle
1170,1170,3/17/2023,Birgunj,0.0,29.3,72,3.6,
1171,1171,3/18/2023,Birgunj,22.01,12.7,40,1.2,Snow
1172,1172,3/19/2023,Birgunj,0.0,14.1,43,4.5,
1173,1173,3/20/2023,Birgunj,0.0,11.7,62,15.2,
1174,1174,3/21/2023,Birgunj,90.47,26.6,63,3.3,Drizzle
1175,1175,3/22/2023,Birgunj,97.56,12.7,56,17.3,Snow
1176,1176,3/23/2023,Birgunj,80.14,24.4,100,8.1,Drizzle
1177,1177,3/24/2023,Birgunj,0.0,21.7,64,9.6,Snow
1178,1178,3/25/2023,Birgunj,48.17,32.2,85,4.8,Snow
1179,1179,3/26/2023,Birgunj,0.0,10.4,79,10.5,Rain
1180,1180,3/27/2023,Birgunj,85.1,23.2,100,15.4,Snow
1181,1181,3/28/2023,Birgunj,59.7,19.0,56,17.8,Snow
1182,1182,3/29/2023,Birgunj,38.33,28.8,59,7.2,Snow
1183,1183,3/30/2023,Birgunj,2.67,28.9,62,4.7,Drizzle
1184,1184,3/31/2023,Birgunj,60.97,32.8,86,17.3,Drizzle
1185,1185,4/1/2023,Birgunj,82.49,33.7,86,17.6,
1186,1186,4/2/2023,Birgunj,34.47,23.6,76,4.9,Rain
1187,1187,4/3/2023,Birgunj,0.0,30.0,56,16.9,Rain
1188,1188,4/4/2023,Birgunj,33.95,15.2,65,13.9,Snow
1189,1189,4/5/2023,Birgunj,0.0,20.8,90,16.4,
1190,1190,4/6/2023,Birgunj,0.0,21.2,72,2.0,
1191,1191,4/7/2023,Birgunj,3.71,32.9,75,9.4,Snow
1192,1192,4/8/2023,Birgunj,54.93,31.4,49,12.0,Drizzle
1193,1193,4/9/2023,Birgunj,0.0,17.8,56,12.5,Rain
1194,1194,4/10/2023,Birgunj,0.0,10.7,44,12.2,Drizzle
1195,1195,4/11/2023,Birgunj,29.18,26.6,45,11.5,Snow
1196,1196,4/12/2023,Birgunj,1.2999999999999998,15.6,69,2.4,Snow
1197,1197,4/13/2023,Birgunj,0.0,21.2,78,4.8,
1198,1198,4/14/2023,Birgunj,0.0,25.3,68,14.8,
1199,1199,4/15/2023,Birgunj,89.3,32.8,87,18.0,
1200,1200,4/16/2023,Birgunj,0.0,14.8,73,11.3,Snow
1201,1201,4/17/2023,Birgunj,88.0,21.8,92,12.9,
1202,1202,4/18/2023,Birgunj,0.0,29.7,84,8.3,Snow
1203,1203,4/19/2023,Birgunj,13.98,26.3,51,2.6,Snow
1204,1204,4/20/2023,Birgunj,28.73,20.0,99,18.8,Drizzle
1205,1205,4/21/2023,Birgunj,0.0,16.6,44,20.0,Rain
1206,1206,4/22/2023,Birgunj,65.57,33.1,75,13.3,Drizzle
1207,1207,4/23/2023,Birgunj,86.26,26.8,66,7.7,
1208,1208,4/24/2023,Birgunj,49.91,23.6,90,8.2,Drizzle
1209,1209,4/25/2023,Birgunj,0.0,24.1,99,11.3,Rain
1210,1210,4/26/2023,Birgunj,0.0,32.1,48,0.2,Rain
1211,1211,4/27/2023,Birgunj,13.08,20.5,43,15.2,Rain
1212,1212,4/28/2023,Birgunj,0.0,33.8,67,10.5,Drizzle
1213,1213,4/29/2023,Birgunj,1.6,20.6,44,7.1,Drizzle
1214,1214,4/30/2023,Birgunj,0.0,24.9,42,5.8,Rain
1215,1215,5/1/2023,Birgunj,66.17,33.6,47,15.3,Drizzle
1216,1216,5/2/2023,Birgunj,0.0,12.4,74,19.1,Rain
1217,1217,5/3/2023,Birgunj,79.1,24.5,81,13.6,Drizzle
1218,1218,5/4/2023,Birgunj,0.0,20.4,84,12.1,Rain
1219,1219,5/5/2023,Birgunj,9.81,11.8,99,0.9,Rain
1220,1220,5/6/2023,Birgunj,29.89,32.3,67,4.5,Rain
1221,1221,5/7/2023,Birgunj,48.62,33.2,90,17.1,
1222,1222,5/8/2023,Birgunj,0.0,11.0,68,2.4,
1223,1223,5/9/2023,Birgunj,14.810000000000002,28.9,73,18.9,
1224,1224,5/10/2023,Birgunj,0.0,22.9,95,10.7,Rain
1225,1225,5/11/2023,Birgunj,0.0,32.1,88,12.2,
1226,1226,5/12/2023,Birgunj,0.0,19.1,77,19.8,Rain
1227,1227,5/13/2023,Birgunj,12.96,20.7,72,17.2,Snow
1228,1228,5/14/2023,Birgunj,0.0,33.3,69,2.2,Drizzle
1229,1229,5/15/2023,Birgunj,0.0,24.2,65,17.9,Drizzle
1230,1230,5/16/2023,Birgunj,0.0,14.5,60,13.2,Rain
1231,1231,5/17/2023,Birgunj,0.0,32.7,63,11.4,Rain
1232,1232,5/18/2023,Birgunj,0.0,13.5,87,4.5,
1233,1233,5/19/2023,Birgunj,79.55,29.9,97,8.2,Drizzle
1234,1234,5/20/2023,Birgunj,0.0,34.5,61,9.8,Drizzle
1235,1235,5/21/2023,Birgunj,17.76,23.2,76,11.5,
1236,1236,5/22/2023,Birgunj,0.0,35.0,58,5.7,
1237,1237,5/23/2023,Birgunj,35.7,18.4,66,19.4,
1238,1238,5/24/2023,Birgunj,0.0,25.8,75,6.9,Snow
1239,1239,5/25/2023,Birgunj,94.88,32.8,54,1.2,Drizzle
1240,1240,5/26/2023,Birgunj,0.0,28.6,64,0.3,
1241,1241,5/27/2023,Birgunj,41.51,25.3,46,3.3,Snow
1242,1242,5/28/2023,Birgunj,0.0,27.3,68,3.0,Rain
1243,1243,5/29/2023,Birgunj,91.63,25.8,92,11.7,Snow
1244,1244,5/30/2023,Birgunj,0.0,14.0,97,6.2,Snow
1245,1245,5/31/2023,Birgunj,25.79,16.4,94,12.8,Drizzle
1246,1246,6/1/2023,Birgunj,72.13,18.0,73,7.4,Rain
1247,1247,6/2/2023,Birgunj,74.6,11.7,77,19.1,
1248,1248,6/3/2023,Birgunj,19.65,25.5,73,1.1,Rain
1249,1249,6/4/2023,Birgunj,91.42,26.6,93,1.5,
1250,1250,6/5/2023,Birgunj,0.0,10.9,91,13.4,
1251,1251,6/6/2023,Birgunj,86.05,11.0,61,8.5,Rain
1252,1252,6/7/2023,Birgunj,67.31,22.5,100,18.8,Rain
1253,1253,6/8/2023,Birgunj,85.77,32.9,58,8.5,Drizzle
1254,1254,6/9/2023,Birgunj,48.85,22.8,67,11.2,Snow
1255,1255,6/10/2023,Birgunj,0.0,31.6,92,15.5,Snow
1256,1256,6/11/2023,Birgunj,28.9,32.7,64,19.1,Snow
1257,1257,6/12/2023,Birgunj,0.0,30.8,88,6.0,Snow
1258,1258,6/13/2023,Birgunj,74.67,14.2,77,17.7,Rain
1259,1259,6/14/2023,Birgunj,0.0,29.5,98,9.9,Rain
1260,1260,6/15/2023,Birgunj,63.97,10.4,77,19.7,Drizzle
1261,1261,6/16/2023,Birgunj,6.140000000000001,19.6,58,19.1,
1262,1262,6/17/2023,Birgunj,0.0,31.5,50,3.1,Rain
1263,1263,6/18/2023,Birgunj,0.0,19.7,56,20.0,Snow
1264,1264,6/19/2023,Birgunj,84.63,31.8,70,13.9,Rain
1265,1265,6/20/2023,Birgunj,76.3,26.7,43,12.4,Drizzle
1266,1266,6/21/2023,Birgunj,2.04,31.9,63,14.3,Snow
1267,1267,6/22/2023,Birgunj,0.0,21.1,76,7.6,Rain
1268,1268,6/23/2023,Birgunj,46.08,31.9,40,0.3,Snow
1269,1269,6/24/2023,Birgunj,13.42,25.1,85,5.9,Drizzle
1270,1270,6/25/2023,Birgunj,96.82,15.4,46,10.1,Rain
1271,1271,6/26/2023,Birgunj,32.31,17.8,82,1.6,Drizzle
1272,1272,6/27/2023,Birgunj,79.69,19.1,64,4.1,Drizzle
1273,1273,6/28/2023,Birgunj,93.67,33.1,68,9.4,
1274,1274,6/29/2023,Birgunj,9.72,13.2,55,6.5,Rain
1275,1275,6/30/2023,Birgunj,47.17,15.0,80,11.5,
1276,1276,7/1/2023,Birgunj,0.0,13.5,52,7.4,Rain
1277,1277,7/2/2023,Birgunj,38.16,28.0,55,3.2,Snow
1278,1278,7/3/2023,Birgunj,0.0,12.0,89,2.3,Rain
1279,1279,7/4/2023,Birgunj,79.86,14.5,85,4.0,Rain
1280,1280,7/5/2023,Birgunj,69.76,10.8,41,10.8,Drizzle
1281,1281,7/6/2023,Birgunj,96.95,28.2,44,14.0,Drizzle
1282,1282,7/7/2023,Birgunj,8.43,14.9,74,13.3,Rain
1283,1283,7/8/2023,Birgunj,27.0,24.2,70,3.3,Drizzle
1284,1284,7/9/2023,Birgunj,1.62,23.1,62,3.2,Drizzle
1285,1285,7/10/2023,Birgunj,64.58,34.8,95,11.0,
1286,1286,7/11/2023,Birgunj,67.08,25.5,47,4.7,Rain
1287,1287,7/12/2023,Birgunj,1.7200000000000002,29.2,73,20.0,
1288,1288,7/13/2023,Birgunj,0.0,10.2,93,12.1,
1289,1289,7/14/2023,Birgunj,22.57,12.1,95,11.9,Rain
1290,1290,7/15/2023,Birgunj,92.27,16.6,64,0.0,Rain
1291,1291,7/16/2023,Birgunj,86.97,17.3,82,12.6,
1292,1292,7/17/2023,Birgunj,80.77,13.5,40,8.1,Rain
1293,1293,7/18/2023,Birgunj,0.0,13.7,42,16.7,Drizzle
1294,1294,7/19/2023,Birgunj,0.0,26.5,86,8.6,Snow
1295,1295,7/20/2023,Birgunj,56.24,32.7,54,16.5,
1296,1296,7/21/2023,Birgunj,16.16,24.3,81,8.6,Snow
1297,1297,7/22/2023,Birgunj,40.89,13.6,70,7.0,Drizzle
1298,1298,7/23/2023,Birgunj,73.27,15.5,52,8.6,Drizzle
1299,1299,7/24/2023,Birgunj,69.78,25.5,82,9.7,Rain
1300,1300,7/25/2023,Birgunj,61.23,31.1,85,2.3,
1301,1301,7/26/2023,Birgunj,7.01,25.4,51,12.2,Drizzle
